tournament_name,start_date,end_date,center_name,center_location,pattern_name,pattern_length,pattern_volume,pattern_ratio,position,squad,name,hometown,score,average,+/-_200,match_play_record,points,earnings
PBA World Championship,2024-04-06T12:00:00Z,2024-04-21T12:00:00Z,PBA World Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Earl Anthony,,,,82,,Dallas Leong,"Las Vegas, Nev.",,217.89,,'--',135.00,0.00
PBA World Championship,2024-04-06T12:00:00Z,2024-04-21T12:00:00Z,PBA World Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Earl Anthony,,,,83,,Cristian Azcona,Puerto Rico,,217.73,,'--',135.00,0.00
PBA World Championship,2024-04-06T12:00:00Z,2024-04-21T12:00:00Z,PBA World Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Earl Anthony,,,,84,,Ronnie Russell,"Noblesville, Ind.",,217.62,,'--',135.00,0.00
PBA World Championship,2024-04-06T12:00:00Z,2024-04-21T12:00:00Z,PBA World Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Earl Anthony,,,,85,,Nobuhlto Fujii,Japan,,217.27,,'--',135.00,0.00
PBA World Championship,2024-04-06T12:00:00Z,2024-04-21T12:00:00Z,PBA World Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Earl Anthony,,,,86,,Tobias Boerding,Germany,,217.09,,'--',135.00,0.00
PBA World Championship,2024-04-06T12:00:00Z,2024-04-21T12:00:00Z,PBA World Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Earl Anthony,,,,87,,Chris Sloan,Ireland,,216.67,,'--',135.00,0.00
PBA World Championship,2024-04-06T12:00:00Z,2024-04-21T12:00:00Z,PBA World Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Earl Anthony,,,,88,,Dick Allen,"Chapin, S.C.",,216.58,,'--',135.00,0.00
PBA World Championship,2024-04-06T12:00:00Z,2024-04-21T12:00:00Z,PBA World Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Earl Anthony,,,,89,,Pontus Andersson,Sweden,,216.13,,'--',135.00,0.00
PBA World Championship,2024-04-06T12:00:00Z,2024-04-21T12:00:00Z,PBA World Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Earl Anthony,,,,90,,Robin Ilhammar,Sweden,,215.73,,'--',135.00,0.00
PBA World Championship,2024-04-06T12:00:00Z,2024-04-21T12:00:00Z,PBA World Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Earl Anthony,,,,91,,Brandon Flora,"Mt. Washington, Ky.",,215.33,,'--',135.00,0.00
PBA World Championship,2024-04-06T12:00:00Z,2024-04-21T12:00:00Z,PBA World Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Earl Anthony,,,,92,,Ramsey Basurto,"Rancho Palos Verdes, Calif.",,215.29,,'--',135.00,0.00
PBA World Championship,2024-04-06T12:00:00Z,2024-04-21T12:00:00Z,PBA World Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Earl Anthony,,,,93,,Thomas Larsen,Denmark,,214.67,,'--',135.00,0.00
PBA World Championship,2024-04-06T12:00:00Z,2024-04-21T12:00:00Z,PBA World Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Earl Anthony,,,,94,,Shawn Maldonado,Houston,,214.58,,'--',135.00,0.00
PBA World Championship,2024-04-06T12:00:00Z,2024-04-21T12:00:00Z,PBA World Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Earl Anthony,,,,95,,Wes Malott,"Fort Wayne, Ind.",,214.22,,'--',135.00,0.00
PBA World Championship,2024-04-06T12:00:00Z,2024-04-21T12:00:00Z,PBA World Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Earl Anthony,,,,96,,Mathias Grã¸nne Ankerdal,Denmark,,213.62,,'--',135.00,0.00
PBA World Championship,2024-04-06T12:00:00Z,2024-04-21T12:00:00Z,PBA World Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Earl Anthony,,,,97,,Carleton Chambers,Detroit,,213.60,,'--',120.00,0.00
PBA World Championship,2024-04-06T12:00:00Z,2024-04-21T12:00:00Z,PBA World Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Earl Anthony,,,,98,,Deeronn Booker,"Anaheim, Calif.",,213.07,,'--',120.00,0.00
PBA World Championship,2024-04-06T12:00:00Z,2024-04-21T12:00:00Z,PBA World Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Earl Anthony,,,,99,,Callum Borck,"Perth, Austraillia",,212.73,,'--',120.00,0.00
PBA World Championship,2024-04-06T12:00:00Z,2024-04-21T12:00:00Z,PBA World Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Earl Anthony,,,,100,,Darren Alexander,"Essex, Ontario",,212.73,,'--',120.00,0.00
PBA World Championship,2024-04-06T12:00:00Z,2024-04-21T12:00:00Z,PBA World Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Earl Anthony,,,,101,,Tim Gruendler,"St. Louis, Mo.",,211.44,,'--',120.00,0.00
PBA World Championship,2024-04-06T12:00:00Z,2024-04-21T12:00:00Z,PBA World Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Earl Anthony,,,,102,,Arnar Jonsson,Iceland,,210.89,,'--',120.00,0.00
PBA World Championship,2024-04-06T12:00:00Z,2024-04-21T12:00:00Z,PBA World Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Earl Anthony,,,,103,,Bryan Bourget,"Woonsocket, R.I.",,210.51,,'--',120.00,0.00
PBA World Championship,2024-04-06T12:00:00Z,2024-04-21T12:00:00Z,PBA World Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Earl Anthony,,,,104,,Zulmazran Zulkifli,Malaysia,,209.40,,'--',120.00,0.00
PBA World Championship,2024-04-06T12:00:00Z,2024-04-21T12:00:00Z,PBA World Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Earl Anthony,,,,105,,Cerell Cardines,Las Vegas,,208.49,,'--',120.00,0.00
PBA World Championship,2024-04-06T12:00:00Z,2024-04-21T12:00:00Z,PBA World Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Earl Anthony,,,,106,,Hiroki Takada,"Osaka, Japan",,207.80,,'--',120.00,0.00
PBA World Championship,2024-04-06T12:00:00Z,2024-04-21T12:00:00Z,PBA World Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Earl Anthony,,,,107,,Pete Vergos,"Apopka, Fla.",,206.76,,'--',120.00,0.00
PBA World Championship,2024-04-06T12:00:00Z,2024-04-21T12:00:00Z,PBA World Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Earl Anthony,,,,108,,Joseph Grondin,"San Pedro, Calif.",,206.04,,'--',120.00,0.00
PBA Scorpion Championship,2024-04-06T12:00:00Z,2024-04-16T12:00:00Z,PBA Scorpion Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Scorpion,42.0,,,1,,Matt Russo,"Ballwin, Missouri",,243.22,,'1-0-0',"2,500.00",20000.00
PBA Scorpion Championship,2024-04-06T12:00:00Z,2024-04-16T12:00:00Z,PBA Scorpion Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Scorpion,42.0,,,2,,Packy Hanrahan,"Wichita, Kan.",,238.77,,'1-1-0',"1,500.00",13000.00
PBA Scorpion Championship,2024-04-06T12:00:00Z,2024-04-16T12:00:00Z,PBA Scorpion Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Scorpion,42.0,,,3,,Keven Williams,"Roseville, CA",,233.92,,'1-1-0',"1,150.00",11000.00
PBA Scorpion Championship,2024-04-06T12:00:00Z,2024-04-16T12:00:00Z,PBA Scorpion Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Scorpion,42.0,,,4,,Jesper Svensson,Sweden,,232.00,,'1-1-0',950.00,9000.00
PBA Scorpion Championship,2024-04-06T12:00:00Z,2024-04-16T12:00:00Z,PBA Scorpion Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Scorpion,42.0,,,5,,Jason Belmonte,Australia,,239.59,,'0-1-0',850.00,7000.00
PBA Scorpion Championship,2024-04-06T12:00:00Z,2024-04-16T12:00:00Z,PBA Scorpion Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Scorpion,42.0,,,6,,Chris Via,"Springfield, Ohio",,226.79,,'5-4-0',775.00,5000.00
PBA Scorpion Championship,2024-04-06T12:00:00Z,2024-04-16T12:00:00Z,PBA Scorpion Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Scorpion,42.0,,,7,,EJ Tackett,"Bluffton, Ind.",,236.00,,'3-4-1',745.00,5000.00
PBA Scorpion Championship,2024-04-06T12:00:00Z,2024-04-16T12:00:00Z,PBA Scorpion Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Scorpion,42.0,,,8,,Justin Knowles,"Okemos, Mich.",,234.65,,'3-5-0',715.00,5000.00
PBA Scorpion Championship,2024-04-06T12:00:00Z,2024-04-16T12:00:00Z,PBA Scorpion Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Scorpion,42.0,,,9,,Graham Fach,"Urbana, Ohio",,229.30,,'2-3-0',685.00,3500.00
PBA Scorpion Championship,2024-04-06T12:00:00Z,2024-04-16T12:00:00Z,PBA Scorpion Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Scorpion,42.0,,,10,,James Blomgren,Alingsås,,223.40,,'2-3-0',655.00,3500.00
PBA Scorpion Championship,2024-04-06T12:00:00Z,2024-04-16T12:00:00Z,PBA Scorpion Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Scorpion,42.0,,,11,,Ryan Ciminelli,"Monroe, N.C.",,228.75,,'2-3-0',625.00,3500.00
PBA Scorpion Championship,2024-04-06T12:00:00Z,2024-04-16T12:00:00Z,PBA Scorpion Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Scorpion,42.0,,,12,,Ethan Fiore,"Tampa, Fla.",,232.63,,'1-3-0',595.00,3500.00
PBA Scorpion Championship,2024-04-06T12:00:00Z,2024-04-16T12:00:00Z,PBA Scorpion Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Scorpion,42.0,,,13,,Deo Benard,"Roanoke, Texas",,236.63,,'1-2-1',565.00,3500.00
PBA Scorpion Championship,2024-04-06T12:00:00Z,2024-04-16T12:00:00Z,PBA Scorpion Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Scorpion,42.0,,,14,,Kyle Troup,"Taylorsville, N.C.",,231.53,,'1-3-0',535.00,3500.00
PBA Scorpion Championship,2024-04-06T12:00:00Z,2024-04-16T12:00:00Z,PBA Scorpion Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Scorpion,42.0,,,15,,Michael Martell,"Brooklyn, N.Y.",,235.06,,'0-3-0',505.00,3500.00
PBA Scorpion Championship,2024-04-06T12:00:00Z,2024-04-16T12:00:00Z,PBA Scorpion Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Scorpion,42.0,,,16,,Jakob Butturff,"Tempe, Ariz.",,225.61,,'0-3-0',475.00,3500.00
PBA Scorpion Championship,2024-04-06T12:00:00Z,2024-04-16T12:00:00Z,PBA Scorpion Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Scorpion,42.0,,,17,,"David ""Boog"" Krol","Nixa, Mo.",,228.00,,'0-0-0',445.00,2000.00
PBA Scorpion Championship,2024-04-06T12:00:00Z,2024-04-16T12:00:00Z,PBA Scorpion Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Scorpion,42.0,,,18,,Gary Faulkner Jr.,"Memphis, Tenn.",,226.60,,'--',425.00,2000.00
PBA Scorpion Championship,2024-04-06T12:00:00Z,2024-04-16T12:00:00Z,PBA Scorpion Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Scorpion,42.0,,,19,,Zac Tackett,"Huntington, Ind.",,226.07,,'--',405.00,2000.00
PBA Scorpion Championship,2024-04-06T12:00:00Z,2024-04-16T12:00:00Z,PBA Scorpion Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Scorpion,42.0,,,20,,Zach Wilkins,Canada,,225.20,,'--',385.00,2000.00
PBA Scorpion Championship,2024-04-06T12:00:00Z,2024-04-16T12:00:00Z,PBA Scorpion Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Scorpion,42.0,,,21,,Rasmus Edvall,Sweden,,225.13,,'--',355.00,1000.00
PBA Scorpion Championship,2024-04-06T12:00:00Z,2024-04-16T12:00:00Z,PBA Scorpion Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Scorpion,42.0,,,22,,Mik Stampe,Denmark,,225.13,,'--',355.00,1000.00
PBA Scorpion Championship,2024-04-06T12:00:00Z,2024-04-16T12:00:00Z,PBA Scorpion Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Scorpion,42.0,,,23,,Tom Daugherty,"Riverview, Fla.",,225.07,,'--',325.00,0.00
PBA Scorpion Championship,2024-04-06T12:00:00Z,2024-04-16T12:00:00Z,PBA Scorpion Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Scorpion,42.0,,,24,,Kyle Sherman,"O'Fallon, Mo.",,223.67,,'--',305.00,0.00
PBA Scorpion Championship,2024-04-06T12:00:00Z,2024-04-16T12:00:00Z,PBA Scorpion Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Scorpion,42.0,,,25,,Stu Williams,"Pflugerville, Texas",,223.53,,'--',285.00,0.00
PBA Scorpion Championship,2024-04-06T12:00:00Z,2024-04-16T12:00:00Z,PBA Scorpion Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Scorpion,42.0,,,26,,Nick Pate,"Inver Grove Heights, Minn.",,222.67,,'--',275.00,0.00
PBA Scorpion Championship,2024-04-06T12:00:00Z,2024-04-16T12:00:00Z,PBA Scorpion Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Scorpion,42.0,,,27,,Pontus Andersson,Sweden,,221.13,,'--',265.00,0.00
PBA Scorpion Championship,2024-04-06T12:00:00Z,2024-04-16T12:00:00Z,PBA Scorpion Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Scorpion,42.0,,,28,,Karl Wahlgren,Helsingborg,,220.93,,'--',255.00,0.00
PBA Scorpion Championship,2024-04-06T12:00:00Z,2024-04-16T12:00:00Z,PBA Scorpion Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Scorpion,42.0,,,29,,Sean Rash,"Montgomery, Ill.",,220.40,,'--',245.00,0.00
PBA Scorpion Championship,2024-04-06T12:00:00Z,2024-04-16T12:00:00Z,PBA Scorpion Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Scorpion,42.0,,,30,,Chris Barnes,"Denton, Texas",,220.13,,'--',235.00,0.00
PBA Scorpion Championship,2024-04-06T12:00:00Z,2024-04-16T12:00:00Z,PBA Scorpion Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Scorpion,42.0,,,31,,Nate Stubler,"LaSalle, Ill.",,220.00,,'--',215.00,0.00
PBA Scorpion Championship,2024-04-06T12:00:00Z,2024-04-16T12:00:00Z,PBA Scorpion Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Scorpion,42.0,,,32,,Bailey Mavrick,"Peru, Ind.",,220.00,,'--',215.00,0.00
PBA Scorpion Championship,2024-04-06T12:00:00Z,2024-04-16T12:00:00Z,PBA Scorpion Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Scorpion,42.0,,,33,,Eric Jones,"Edmond, Okla.",,220.00,,'--',215.00,0.00
PBA Scorpion Championship,2024-04-06T12:00:00Z,2024-04-16T12:00:00Z,PBA Scorpion Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Scorpion,42.0,,,34,,Carlos Granados,Venezuela,,219.33,,'--',200.00,0.00
PBA Scorpion Championship,2024-04-06T12:00:00Z,2024-04-16T12:00:00Z,PBA Scorpion Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Scorpion,42.0,,,35,,Timmy Tan,Malaysia,,219.20,,'--',195.00,0.00
PBA Scorpion Championship,2024-04-06T12:00:00Z,2024-04-16T12:00:00Z,PBA Scorpion Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Scorpion,42.0,,,36,,Anthony Simonsen,Las Vegas,,219.13,,'--',190.00,0.00
PBA Scorpion Championship,2024-04-06T12:00:00Z,2024-04-16T12:00:00Z,PBA Scorpion Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Scorpion,42.0,,,37,,Bill O'Neill,"Langhorne, Pa.",,218.73,,'--',185.00,0.00
PBA Scorpion Championship,2024-04-06T12:00:00Z,2024-04-16T12:00:00Z,PBA Scorpion Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Scorpion,42.0,,,38,,Michael Schlabach,"Wakarusa, Ind.",,218.13,,'--',180.00,0.00
PBA Scorpion Championship,2024-04-06T12:00:00Z,2024-04-16T12:00:00Z,PBA Scorpion Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Scorpion,42.0,,,39,,Nicola Pongolini,Salsomaggiore Terme,,218.00,,'--',175.00,0.00
PBA Scorpion Championship,2024-04-06T12:00:00Z,2024-04-16T12:00:00Z,PBA Scorpion Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Scorpion,42.0,,,40,,Tomas Käyhkö,Finland,,217.67,,'--',170.00,0.00
PBA Scorpion Championship,2024-04-06T12:00:00Z,2024-04-16T12:00:00Z,PBA Scorpion Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Scorpion,42.0,,,41,,Tim Foy Jr.,"Seaford, Del.",,217.53,,'--',165.00,0.00
PBA Scorpion Championship,2024-04-06T12:00:00Z,2024-04-16T12:00:00Z,PBA Scorpion Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Scorpion,42.0,,,42,,Nathan Bohr,"Austin, Texas",,217.47,,'--',160.00,0.00
PBA Scorpion Championship,2024-04-06T12:00:00Z,2024-04-16T12:00:00Z,PBA Scorpion Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Scorpion,42.0,,,43,,Tommy Jones,"Simpsonville, S.C.",,217.27,,'--',155.00,0.00
PBA Scorpion Championship,2024-04-06T12:00:00Z,2024-04-16T12:00:00Z,PBA Scorpion Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Scorpion,42.0,,,44,,Cortez Schenck,"Phoenix, Ariz.",,216.93,,'--',150.00,0.00
PBA Scorpion Championship,2024-04-06T12:00:00Z,2024-04-16T12:00:00Z,PBA Scorpion Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Scorpion,42.0,,,45,,Cristian Azcona,Puerto Rico,,216.27,,'--',145.00,0.00
PBA Scorpion Championship,2024-04-06T12:00:00Z,2024-04-16T12:00:00Z,PBA Scorpion Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Scorpion,42.0,,,46,,William Svensson,Sweden,,216.20,,'--',137.50,0.00
PBA Scorpion Championship,2024-04-06T12:00:00Z,2024-04-16T12:00:00Z,PBA Scorpion Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Scorpion,42.0,,,47,,Dom Barrett,"Great Bentley, England",,216.20,,'--',137.50,0.00
PBA Scorpion Championship,2024-04-06T12:00:00Z,2024-04-16T12:00:00Z,PBA Scorpion Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Scorpion,42.0,,,48,,Tom Hess,"Granger, Iowa",,216.07,,'--',130.00,0.00
PBA Scorpion Championship,2024-04-06T12:00:00Z,2024-04-16T12:00:00Z,PBA Scorpion Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Scorpion,42.0,,,49,,Tom Smallwood,"Saginaw, Mich.",,215.93,,'--',122.50,0.00
PBA Scorpion Championship,2024-04-06T12:00:00Z,2024-04-16T12:00:00Z,PBA Scorpion Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Scorpion,42.0,,,50,,Callum Borck,"Perth, Austraillia",,215.93,,'--',122.50,0.00
PBA Scorpion Championship,2024-04-06T12:00:00Z,2024-04-16T12:00:00Z,PBA Scorpion Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Scorpion,42.0,,,51,,Sam Cooley,Australia,,215.80,,'--',115.00,0.00
PBA Scorpion Championship,2024-04-06T12:00:00Z,2024-04-16T12:00:00Z,PBA Scorpion Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Scorpion,42.0,,,52,,Patrick Dombrowski,"Parma, Ohio",,215.60,,'--',110.00,0.00
PBA Scorpion Championship,2024-04-06T12:00:00Z,2024-04-16T12:00:00Z,PBA Scorpion Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Scorpion,42.0,,,53,,Richie Teece,"Aldershot, Hampshire",,215.27,,'--',105.00,0.00
PBA Scorpion Championship,2024-04-06T12:00:00Z,2024-04-16T12:00:00Z,PBA Scorpion Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Scorpion,42.0,,,54,,Jason Sterner,"Rochester, N.Y.",,215.00,,'--',100.00,0.00
PBA Scorpion Championship,2024-04-06T12:00:00Z,2024-04-16T12:00:00Z,PBA Scorpion Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Scorpion,42.0,,,55,,Nate Purches,"Fond du Lac, Wis.",,214.93,,'--',95.00,0.00
PBA Scorpion Championship,2024-04-06T12:00:00Z,2024-04-16T12:00:00Z,PBA Scorpion Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Scorpion,42.0,,,56,,Alec Keplinger,"Angola, Ind.",,214.53,,'--',90.00,0.00
PBA Scorpion Championship,2024-04-06T12:00:00Z,2024-04-16T12:00:00Z,PBA Scorpion Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Scorpion,42.0,,,57,,Ramsey Basurto,"Rancho Palos Verdes, Calif.",,214.40,,'--',85.00,0.00
PBA Scorpion Championship,2024-04-06T12:00:00Z,2024-04-16T12:00:00Z,PBA Scorpion Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Scorpion,42.0,,,58,,Kim Bolleby,Sweden,,214.13,,'--',80.00,0.00
PBA Scorpion Championship,2024-04-06T12:00:00Z,2024-04-16T12:00:00Z,PBA Scorpion Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Scorpion,42.0,,,59,,Andrew Anderson,"Holly, Mich.",,214.07,,'--',72.50,0.00
PBA Scorpion Championship,2024-04-06T12:00:00Z,2024-04-16T12:00:00Z,PBA Scorpion Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Scorpion,42.0,,,60,,Marshall Kent,"Yakima, Wash.",,214.07,,'--',72.50,0.00
PBA Scorpion Championship,2024-04-06T12:00:00Z,2024-04-16T12:00:00Z,PBA Scorpion Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Scorpion,42.0,,,61,,Martin Larsen,Sweden,,213.53,,'--',65.00,0.00
PBA Scorpion Championship,2024-04-06T12:00:00Z,2024-04-16T12:00:00Z,PBA Scorpion Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Scorpion,42.0,,,62,,Matt Ogle,"Louisville, Ky.",,213.47,,'--',60.00,0.00
PBA Scorpion Championship,2024-04-06T12:00:00Z,2024-04-16T12:00:00Z,PBA Scorpion Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Scorpion,42.0,,,63,,Jaris Goh,Singapore,,213.13,,'--',55.00,0.00
PBA Scorpion Championship,2024-04-06T12:00:00Z,2024-04-16T12:00:00Z,PBA Scorpion Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Scorpion,42.0,,,64,,Tobias Boerding,Germany,,212.93,,'--',50.00,0.00
PBA Scorpion Championship,2024-04-06T12:00:00Z,2024-04-16T12:00:00Z,PBA Scorpion Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Scorpion,42.0,,,65,,Mathias Grã¸nne Ankerdal,Denmark,,212.53,,'--',45.00,0.00
PBA Scorpion Championship,2024-04-06T12:00:00Z,2024-04-16T12:00:00Z,PBA Scorpion Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Scorpion,42.0,,,66,,Frank Snodgrass,"Adrian, MI",,212.47,,'--',45.00,0.00
PBA Scorpion Championship,2024-04-06T12:00:00Z,2024-04-16T12:00:00Z,PBA Scorpion Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Scorpion,42.0,,,67,,Carsten Hansen,Denmark,,212.47,,'--',45.00,0.00
PBA Scorpion Championship,2024-04-06T12:00:00Z,2024-04-16T12:00:00Z,PBA Scorpion Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Scorpion,42.0,,,68,,AJ Chapman,"Manchester, Iowa",,212.33,,'--',45.00,0.00
PBA Scorpion Championship,2024-04-06T12:00:00Z,2024-04-16T12:00:00Z,PBA Scorpion Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Scorpion,42.0,,,69,,Kris Prather,"Plainfield, Ill.",,212.13,,'--',45.00,0.00
PBA Scorpion Championship,2024-04-06T12:00:00Z,2024-04-16T12:00:00Z,PBA Scorpion Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Scorpion,42.0,,,70,,Sean Lavery-Spahr,"Pasadena, Texas",,212.07,,'--',45.00,0.00
PBA Scorpion Championship,2024-04-06T12:00:00Z,2024-04-16T12:00:00Z,PBA Scorpion Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Scorpion,42.0,,,71,,DJ Archer,"Louisville, Ky.",,212.07,,'--',45.00,0.00
PBA Scorpion Championship,2024-04-06T12:00:00Z,2024-04-16T12:00:00Z,PBA Scorpion Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Scorpion,42.0,,,72,,Arturo Quintero,Mexico,,211.60,,'--',45.00,0.00
PBA Scorpion Championship,2024-04-06T12:00:00Z,2024-04-16T12:00:00Z,PBA Scorpion Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Scorpion,42.0,,,73,,Matt Sanders,"Evansville, Ind.",,211.27,,'--',45.00,0.00
PBA Scorpion Championship,2024-04-06T12:00:00Z,2024-04-16T12:00:00Z,PBA Scorpion Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Scorpion,42.0,,,74,,Mitch Hupé,"Winnipeg, MB",,211.13,,'--',45.00,0.00
PBA Scorpion Championship,2024-04-06T12:00:00Z,2024-04-16T12:00:00Z,PBA Scorpion Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Scorpion,42.0,,,75,,Dallas Leong,"Las Vegas, Nev.",,210.87,,'--',45.00,0.00
PBA Scorpion Championship,2024-04-06T12:00:00Z,2024-04-16T12:00:00Z,PBA Scorpion Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Scorpion,42.0,,,76,,Jake Peters,"Henderson, Nev.",,210.80,,'--',45.00,0.00
PBA Scorpion Championship,2024-04-06T12:00:00Z,2024-04-16T12:00:00Z,PBA Scorpion Championship,"4200 Allen Rd, Allen Park Allen Park MI 48101 United States",Scorpion,42.0,,,77,,Arnar Jonsson,Iceland,,210.47,,'--',45.00,0.00
